City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Iqaluit,CA,63.7506,-68.5145,40.73,93,100,5.75,light rain
80,Upernavik,GL,72.7868,-56.1549,41.07,87,29,14.72,scattered clouds
81,Sept-Iles,CA,50.2001,-66.3821,77.0,55,40,6.91,scattered clouds
82,Omboue,GA,-1.5746,9.2618,72.14,84,20,5.99,few clouds
83,Villazon,BO,-22.0866,-65.5942,56.08,3,34,18.23,scattered clouds
84,Geraldton,AU,-28.7667,114.6,54.01,100,75,5.75,broken clouds
85,Kampene,CD,-3.6,26.6667,72.27,66,64,1.41,broken clouds
86,Klaksvik,FO,62.2266,-6.589,50.92,87,100,21.74,overcast clouds
87,Kolokani,ML,13.5728,-8.0339,74.32,83,100,3.65,overcast clouds
88,San Onofre,CO,9.7359,-75.5263,82.98,83,99,6.17,overcast clouds
89,Bluff,NZ,-46.6,168.3333,51.8,61,100,22.77,overcast clouds
90,Hithadhoo,MV,-0.6,73.0833,77.36,84,100,20.49,overcast clouds
91,Hermanus,ZA,-34.4187,19.2345,54.81,83,0,8.55,clear sky
92,Nokaneng,BW,-19.6667,22.2667,54.45,44,0,7.18,clear sky
93,Inhambane,MZ,-23.865,35.3833,66.92,90,4,6.22,clear sky
94,Albany,US,42.6001,-73.9662,91.02,44,99,7.83,overcast clouds
95,Okmulgee,US,35.6234,-95.9605,103.01,32,0,5.75,clear sky
96,Jilib,SO,0.4883,42.7854,73.49,83,39,9.53,scattered clouds
97,Yeppoon,AU,-23.1333,150.7333,49.78,87,3,5.12,clear sky
98,Auburn,US,47.3073,-122.2284,68.29,66,100,4.61,overcast clouds
99,Nikolskoye,RU,59.7035,30.7861,57.09,95,100,4.61,overcast clouds
100,La Tuque,CA,47.4334,-72.7824,84.45,37,100,5.75,overcast clouds
101,Sumbe,AO,-11.2061,13.8437,67.82,93,13,6.6,few clouds
102,Nakhon Nayok,TH,14.1667,101.1,78.33,86,100,4.52,overcast clouds
103,Tongliao,CN,43.6125,122.2653,67.68,90,95,6.69,overcast clouds
104,Port Elizabeth,ZA,-33.918,25.5701,72.1,44,0,5.75,clear sky
105,Shalakusha,RU,62.2247,40.2539,55.17,80,95,1.86,overcast clouds
106,Samarai,PG,-10.6167,150.6667,79.47,82,27,5.12,scattered clouds
107,Lufkin,US,31.3382,-94.7291,100.83,32,20,4.61,few clouds
108,Cherskiy,RU,68.75,161.3,39.09,54,98,16.33,overcast clouds
